"name","party","screen_name","class"
"bologna fabiola","m-02",NA,"D"
"bonafede alfonso","m5s","alfonsobonafede","D"
"bond dario","fi","dariobond8","D"
"boniardi fabio massimo","lega","boniardi_fabio","D"
"bonomo francesca","pd","frabonomo","D"
"bordo michele","pd","bordomichele","D"
"bordonali simona","lega","simonabordonali","D"
"borghese mario alejandro","m-01","marioborgheseok","D"
"borghi claudio","lega","borghi_claudio","D"
"borghi enrico","pd","enricoborghi1","D"
"boschi maria elena","iv","meb","D"
"braga chiara","pd","bragachiara","D"
"brambilla michela vittoria","fi","mvbrambilla","D"
"brescia giuseppe","m5s","g_brescia","D"
"brunetta renato","fi","renatobrunetta","D"
"bruno raffaele","m5s","raffaelebruno","D"
"bruno bossio vincenza","pd","enzabrunobossio","D"
"bubisutti aurelia","lega","aureliabubi","D"
"bucalo carmela","fdi",NA,"D"
"buffagni stefano","m5s","sbuffagni","D"
"buompane giuseppe","m5s","buompaneg","D"
"buratti umberto","pd",NA,"D"
"businarolo francesca","m5s","francbusinarolo","D"
"butti alessio","fdi",NA,"D"
"cabras pino","m5s","pinokabras","D"
"cadeddu luciano","m5s","lucianocadeddu","D"
"caffaratto gualtiero","lega",NA,"D"
"caiata salvatore","fdi","caiatasalvatore","D"
"calabria annagrazia","fi","calabriatw","D"
"campana micaela","pd","micaela_campana","D"
"cancelleri azzurra pia maria","m5s","azzurra_c","D"
"cannatelli pasquale","fi",NA,"D"
"cannizzaro francesco","fi","frcannizzaro","D"
"cantalamessa gianluca","lega",NA,"D"
"cantini laura","pd","cantinil","D"
"cantone carla","pd",NA,"D"
"cantone luciano","m5s","lucianocantone9","D"
"caon roberto","fi","roberto__caon","D"
"caparvi virginio","lega","vcaparvi","D"
"capitanio massimiliano","lega","maxcapitanio","D"
"cappellacci ugo","fi","ugocappellacci","D"
"cappellani santi","pd","santicappellan1","D"
"carabetta luca","m5s","lucacarabetta","D"
"carbonaro alessandra","m5s","alecarbonarom5s","D"
"cardinale daniela","m-02",NA,"D"
