"name","party","screen_name","class"
"labriola vincenza","fi","Vincenza_Lab","D"
"lacarra marco","pd","marco_lacarra","D"
"la marca francesca","pd","FrancescaLaMar","D"
"lapia mara","m5s","LapiaMara","D"
"latini giorgia","lega","latinigiorgia","D"
"lattanzio paolo","m5s","LattanzioPaolo","D"
"lazzarini arianna","lega",NA,"D"
"legnaioli donatella","lega",NA,"D"
"lepri stefano","pd","stefanolepri","D"
"librandi gianfranco","iv","GFLibrandi","D"
"licatini caterina","m5s","CLicatini","D"
"liuni marzio","lega",NA,"D"
"liuzzi mirella","m5s","mirellaliuzzi","D"
"locatelli alessandra","lega","Alesidcomo","D"
"lolini mario","lega","mariololini","D"
"lollobrigida francesco","fdi","FrancescoLollo1","D"
"lombardo antonio","m5s",NA,"D"
"lo monte carmelo","m-02",NA,"D"
"longo fausto","m-02",NA,"D"
"lorefice marialucia","m5s","Mlucialorefice","D"
"lorenzin beatrice","pd","BeaLorenzin","D"
"lorenzoni eva","lega","evalorenzoni","D"
"lorenzoni gabriele","m5s","lorenzoni_m5s","D"
"losacco alberto","pd","albertolosacco","D"
"loss martina","lega","LossMartina","D"
"lotti luca","pd","LottiLuca","D"
"lovecchio giorgio","m5s","Giorgiolovecc","D"
"lucaselli ylenja","fdi","ylucaselli","D"
"lucchini elena","lega","ElenaLucchini","D"
"lupi maurizio","m-03","Maurizio_Lupi","D"
"maccanti elena","lega","Elmac71","D"
"macina anna","m5s","AnnaMacina73","D"
"madia maria anna","pd","mariannamadia","D"
"maggioni marco","lega","marcmaggioni","D"
"magi riccardo","m-05","riccardomagi","D"
"maglione pasquale","m5s","maglione5stelle","D"
"mammi' stefania","m5s","stefaniamammi","D"
"manca alberto","m5s","AlbertoManca_","D"
"manca gavino","pd","GavinoMancaPd","D"
"mancini claudio","pd","ClaudioMancini9","D"
"mandelli andrea","fi","mandelli_andrea","D"
"maniero alvise","m5s",NA,"D"
"mantovani lucrezia maria benedetta","fdi",NA,"D"
"manzato franco","lega","Franco_Manzato","D"
"manzo teresa","m5s","terry_manzo","D"
"maraia generoso","m5s","MaraiaGeneroso1","D"
"marattin luigi","iv","marattin","D"
"marchetti riccardo augusto","lega","RiccardoAugust3","D"
"mariani felice","m5s","FeliceMariani","D"
"marin marco","fi","Marin63Marco","D"
"marino bernardo","m5s",NA,"D"
"marrocco patrizia","fi","MarroccoPatty","D"
"martina maurizio","pd","maumartina","D"
"martinciglio vita","m5s","VMartinciglio","D"
"martino antonio","fi","antoellemartino","D"
"marzana maria","m5s","maria_marzana","D"
"maschio ciro","fdi","CiroMaschio","D"
"masi angela","m5s","Angela71932396","D"
"maturi filippo","lega",NA,"D"
"mauri matteo","pd","mmauripd","D"
"mazzetti erica","fi","66e018f9d58640e","D"
"melicchio alessandro","m5s","AlexMelicchio","D"
"melilli fabio","pd",NA,"D"
"meloni giorgia","fdi","GiorgiaMeloni","D"
"menga rosa","m5s",NA,"D"
"miceli carmelo","pd","carmelomiceliPD","D"
"micillo salvatore","m5s","micillom5s","D"
"migliore gennaro","iv","gennaromigliore","D"
"migliorino luca","m5s",NA,"D"
"milanato lorena","fi","LorenaMilanato","D"
"minardo antonino","lega",NA,"D"
"minniti marco","pd","marcominniti21","D"
"misiti carmelo massimo","m5s",NA,"D"
"molinari riccardo","lega","MolinariRik","D"
"mollicone federico","fdi","fmollicone","D"
"molteni nicola","lega","NicolaMolteni","D"
"montaruli augusta","fdi","augustamontarul","D"
"mor mattia","iv","MorMattia","D"
"morani alessia","pd","AlessiaMorani","D"
"morassut roberto","pd","RMorassut","D"
"morelli alessandro","lega","AMorelliMilano","D"
"moretto sara","iv","sara_moretto","D"
"morgoni mario","pd","mariomorgoni","D"
"morrone jacopo","lega","JacopoMorrone","D"
"moschioni daniele","lega",NA,"D"
"mugnai stefano","fi","stefano_mugnai","D"
"mule' giorgio","fi","giorgiomule","D"
"mura romina","pd","RominaMura","D"
"murelli elena","lega","MurelliElena","D"
"muroni rossella","leu","RossellaMuroni","D"
"musella graziano","fi",NA,"D"
"napoli osvaldo","fi","Osvaldo_Napoli_","D"
"nappi silvana","m5s",NA,"D"
"nardi martina","pd","martinanardi4","D"
"navarra pietro","pd",NA,"D"
"nesci dalila","m5s","DalilaNesci","D"
"nevi raffaele","fi","raffaelenevi","D"
"nitti michele","m-02",NA,"D"
"nobili luciano","iv","lucianonobili","D"
"noja lisa","iv",NA,"D"
"novelli roberto","fi","novelliroberto","D"
"occhionero giuseppina","iv",NA,"D"
"occhiuto roberto","fi","robertoocchiuto","D"
"olgiati riccardo","m5s","rickyolgiati","D"
"orfini matteo","pd",NA,"D"
"orlando andrea","pd","AndreaOrlandosp","D"
"orrico anna laura","m5s","AnnaLauraOrrico","D"
"orsini andrea","fi","andr_orsini","D"
"osnato marco","fdi","MarcoOsnato","D"
"padoan pietro carlo","pd",NA,"D"
"pagani alberto","pd",NA,"D"
"pagano alessandro","lega","alepaganotwit","D"
"pagano ubaldo","pd","ubaldopagano","D"
"paita raffaella","iv","raffaellapaita","D"
"palazzotto erasmo","leu","EPalazzotto","D"
"pallini maria","m5s","Maria_Pallini","D"
"palmieri antonio","fi","antoniopalmieri","D"
"palmisano valentina","m5s","valentinaM5S","D"
"panizzut massimiliano","lega",NA,"D"
"paolini luca rodolfo","lega",NA,"D"
"papiro antonella","m5s",NA,"D"
"parentela paolo","m5s","PaoloParentela","D"
"parisse martina","m5s",NA,"D"
"parolo ugo","lega","UgoParolo","D"
"pastorino luca","leu","Pastorino85","D"
"patassini tullio","lega","PatassiniTullio","D"
"patelli cristina","lega","cripatelli","D"
"paternoster paolo","lega","PaternosterPao","D"
"paxia maria laura","m5s","LauraPaxia","D"
"pedrazzini claudio","m-03","Pedrazzini_","D"
"pella roberto","fi","roberto_pella","D"
"pellicani nicola","pd","ConPellicani","D"
"penna leonardo salvatore","m5s",NA,"D"
"pentangelo antonio","fi","PentangeloA","D"
"perantoni mario","m5s",NA,"D"
"perconti filippo giuseppe","m5s",NA,"D"
